spec_section,requirement_id,ours_anchor,ref_anchor,parity_status,classification,recommendation_id
3.1,XR-REQ-001,src/runtime/bootstrap.ts:createRuntimeEnvironment,elixir/lib/symphony_elixir/orchestrator.ex:init,functionally-equivalent,spec-required,XR-00
5.1,XR-REQ-002,src/workflow/loader.ts:load,elixir/lib/symphony_elixir/workflow.ex:load,functionally-equivalent,spec-required,XR-00
5.3,XR-REQ-003,src/workflow/resolver.ts:resolve,elixir/lib/symphony_elixir/config/schema.ex:changeset,functionally-equivalent,spec-required,XR-02
5.4,XR-REQ-004,src/workflow/watcher.ts:WorkflowWatcher,elixir/lib/symphony_elixir/workflow_store.ex:reload_state,functionally-equivalent,spec-required,XR-09
6.4,XR-REQ-005,src/workflow/types.ts:WorkerConfig,elixir/lib/symphony_elixir/config/schema.ex:Worker,different-safe,extension,XR-04
6.4,XR-REQ-006,src/workflow/validator.ts:invalid_worker_max_concurrent_agents_per_host,elixir/lib/symphony_elixir/config/schema.ex:validate_number(max_concurrent_agents_per_host),equivalent,spec-required,XR-00
7.3,XR-REQ-007,src/orchestrator/core.ts:onWorkerExit,elixir/lib/symphony_elixir/orchestrator.ex:handle_info({:DOWN,...}),functionally-equivalent,spec-required,XR-00
8.4,XR-REQ-008,src/orchestrator/core.ts:scheduleRetry,elixir/lib/symphony_elixir/orchestrator.ex:schedule_issue_retry,equivalent,spec-required,XR-00
8.5,XR-REQ-009,src/orchestrator/core.ts:reconcileRunningIssues,elixir/lib/symphony_elixir/orchestrator.ex:reconcile_running_issues,equivalent,spec-required,XR-00
8.6,XR-REQ-010,src/runtime/bootstrap.ts:startup_terminal_cleanup_completed,elixir/lib/symphony_elixir/orchestrator.ex:run_terminal_workspace_cleanup,equivalent,spec-required,XR-00
9.4,XR-REQ-011,src/workspace/manager.ts:runHookOrThrow,elixir/lib/symphony_elixir/workspace.ex:run_hook,functionally-equivalent,spec-required,XR-00
